"PlaceId";"Name";"Type";"Capacity";"fips"
2853;"HARDWOOD CAMPSITE on GRAND ISLAND";"WALK TO";1;"26003.0"
2854;"PRESERVATION POINT CAMPSITE on GRAND ISLAND";"WALK TO";1;"26003.0"
2855;"LOON CALL CAMPSITE on GRAND ISLAND";"WALK TO";1;"26003.0"
2856;"WOLF CREEK CAMPGROUND (ND)";"STANDARD NONELECTRIC";67;"38055.0"
2857;"McCoys Ferry Campground";"STANDARD NONELECTRIC;GROUP STANDARD NONELECTRIC";13;"24043.0"
2858;"POUND RIVER CAMPGROUND (VA)";"RV ELECTRIC";22;""
2859;"White Mountains National Recreation Area - Alaska Cabins";"CABIN NONELECTRIC";14;"2290.0"
2860;"WHISKEY SPRINGS CAMPGROUND";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC";34;"41029.0"
2861;"LITTLE DUCK CAMPSITE on GRAND ISLAND";"WALK TO";1;"26003.0"
2862;"DEEP BAY CABIN";"CABIN NONELECTRIC";1;"2275.0"
2863;"Hittle Bottom Group Sites";"GROUP STANDARD NONELECTRIC";1;"49019.0"
2864;"MILLER CABIN";"CABIN NONELECTRIC";1;"30007.0"
2865;"ANNA CREEK CABIN";"CABIN NONELECTRIC";1;"30029.0"
2866;"CRANESNEST CAMPGROUND (VA)";"TENT ONLY NONELECTRIC;RV ELECTRIC";19;"51051.0"
2867;"YAVAPAI CAMPGROUND";"STANDARD NONELECTRIC;STANDARD ELECTRIC";21;"4025.0"
2868;"Paw Paw Tunnel Campsite";"TENT ONLY NONELECTRIC";10;"24001.0"
2869;"EAST TOTTEN TRAIL CAMPGROUND (ND)";"STANDARD ELECTRIC;STANDARD NONELECTRIC";40;"38055.0"
2870;"ROADS END CAMPSITE on GRAND ISLAND";"WALK TO";1;"26003.0"
2871;"FREIGHTERVIEW CAMPSITE on GRAND ISLAND";"WALK TO";1;"26003.0"
2872;"CRESCENT LAKE GUARD STATION";"CABIN ELECTRIC";1;"41035.0"
2873;"THUNDER ROCK CAMPGROUND";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;STANDARD ELECTRIC;GROUP TENT ONLY AREA NONELECTRIC";38;"47139.0"
2874;"Cape Point Campground";"STANDARD NONELECTRIC";199;"37095.0"
2875;"Dundo Group Campground";"GROUP TENT ONLY AREA NONELECTRIC";3;"51165.0"
2876;"GRANITE BUTTE LOOKOUT";"LOOKOUT";1;"30049.0"
2877;"BERMUDA CAMPSITE on GRAND ISLAND";"WALK TO";1;"26003.0"
2878;"NANCYS BOAT TO SHORE CAMPGROUND (PA)";"BOAT IN";50;"42061.0"
2879;"FOURBIT FORD CAMPGROUND";"STANDARD NONELECTRIC";7;"41029.0"
2880;"Fifteen Mile Creek Campsite";"GROUP TENT ONLY AREA NONELECTRIC;STANDARD NONELECTRIC";10;"24001.0"
2881;"BEAR LAKE CAMPGROUND";"WALK TO;STANDARD NONELECTRIC;TENT ONLY NONELECTRIC";27;"55041.0"
2882;"HEARTS CONTENT RECREATION AREA";"STANDARD NONELECTRIC;GROUP STANDARD AREA NONELECTRIC";27;"42123.0"
2883;"Marvine Campground";"STANDARD NONELECTRIC;EQUESTRIAN NONELECTRIC";23;"8103.0"
2884;"DUCK LAKE CAMPSITE on GRAND ISLAND";"WALK TO";1;"26003.0"
2885;"HEMLOCK CAMPSITE on GRAND ISLAND";"WALK TO";1;"26003.0"
2886;"SARDINE PEAK LOOKOUT";"LOOKOUT";1;"6091.0"
